 1433730 2M19265020+3703054 4727.2  71.7 -0.029 0.03  -0.004 0.012  40.014 0.009  4.076 0.006 RGB      1.0285 0.0007 1.763 0.042 0.041 12.236 0.017 0.015 2.509 0.005 0.007 1.357E-03 0.012 0.007 3.155  0.079  -0.034 0.438 0.073
 1433803 2M19265417+3702187 4725.7  71.   0.267 0.026 -0.006 0.01  150.192 0.009 12.16  0.004 RGB      1.0229 0.0003 1.202 0.039 0.032  5.216 0.014 0.011 3.083 0.005 0.007 1.195E-02 0.008 0.007 3.823  0.062  -0.059 0.072 0.073
 1435573 2M19282646+3705369 4694.6  70.1  0.085 0.028  0.016 0.011  26.022 0.029  3.696 0.019 RC       1.0017 0.0139 0.789 0.132 0.081 10.166 0.056 0.025 2.321 0.013 0.01  1.058E-03 0.048 0.008 4.034  0.102  -0.108 0.237 0.075
 1569842 2M19222920+3710285 4799.7  75.4 -0.241 0.035  0.116 0.015 134.403 0.009 11.765 0.004 RGB      1.0235 0.0004 1.004 0.039 0.033  5.02  0.014 0.012 3.038 0.005 0.007 1.120E-02 0.008 0.007 3.945  0.064  -0.063 0.    0.074
 1571780 2M19241413+3711431 4889.3  78.5  0.22  0.029 -0.008 0.01   47.828 0.012  4.453 0.004 RC       1.0118 0.005  2.372 0.05  0.071 12.874 0.019 0.02  2.594 0.006 0.009 1.567E-03 0.013 0.008 2.878  0.138  -0.056 0.436 0.076
 1572175 2M19243591+3706204 4725.1  71.5  0.011 0.03  -0.007 0.012  55.318 0.015  5.367 0.004 RGB      1.0307 0.0004 1.535 0.054 0.04   9.712 0.019 0.015 2.649 0.007 0.007 2.363E-03 0.008 0.007 3.378  0.086  -0.081 0.372 0.073
 1572780 2M19250971+3708188 4784.6  75.3 -0.513 0.04   0.097 0.018  18.388 0.02   2.706 0.009 RGB      1.0454 0.002  0.84  0.076 0.043 12.419 0.029 0.016 2.174 0.009 0.007 6.179E-04 0.019 0.008 4.147  0.087  -0.109 0.34  0.075 Ageold
 1575886 2M19274289+3709135 5065.6  87.9 -0.033 0.037 -0.02  0.013  99.237 0.016  8.034 0.006 RC       0.9918 0.0025 2.286 0.06  0.048  8.696 0.023 0.01  2.918 0.008 0.007 4.902E-03 0.014 0.008 2.924  0.06   -0.098 0.314 0.08
 1576043 2M19275029+3706248 4105.6  49.1  0.094 0.02   0.017 0.011   5.295 0.022  0.939 0.016 RGB      1.0432 0.0006 1.109 0.095 0.044 27.636 0.04  0.017 1.6   0.01  0.007 7.409E-05 0.032 0.008 3.9    0.155  -0.138 0.498 0.095
 1576469 2M19281017+3706444 5033.6  85.9  0.115 0.033 -0.011 0.011  89.5   0.009  7.406 0.004 RC       1.0014 0.0146 2.213 0.071 0.052  9.024 0.033 0.011 2.872 0.005 0.008 4.247E-03 0.03  0.008 3.02   0.013  -0.085 0.128 0.079
