                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      1.8000000000000000E+000      1.9700000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne22                           mass_conv_core                             he_core_mass                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling 
                                     838                  6.7989867033287985E+006                  1.8000000000000000E+000                  1.1123848858280327E+004                  1.7983667946018883E+001                  1.1433726913730762E+000                  1.7983667946018883E+001                  1.1433726913730762E+000                  3.7738638508325370E+004                  2.2103182459667899E+007                  9.3199626298150037E+001                  2.8765519365079718E+017                 -2.2997563315014595E+000                  5.9878817701435061E-001                  8.7281852762616519E-001                  7.4563556536685049E-001                  2.5233564789348367E-001                  3.2341892977232348E-006                  5.1438224950018838E-004                  9.3348858499207811E-004                  0.0000000000000000E+000                  2.2438950776970282E-001                  0.0000000000000000E+000                  1.2292289727838734E-001                  7.8130944825005599E-008                  9.9999999981868815E-001                  9.9999999957509056E-001                  1.5511992574231559E-001                  7.8130944825005599E-008                  1.0000000000000000E+000                  9.9660215171405508E-001                  1.5907465512439140E-001                  1.2857612239751989E-003                  1.1373112521099029E+000                  1.1352975166109087E+000                  1.7396428090999744E-001                  1.2857612239751989E-003                  1.1433726913730762E+000                  7.9371102728620024E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.4582926314780808E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2556238983975014E+000                 -3.7026265461203828E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2404856181239732E-001                 -1.5100565485755757E+000                  1.1887023461994990E+000                  4.1037440298162253E-001                 -3.7026265461203828E+001                 -2.7164075540345483E+001                 -2.9393988554565187E+001                 -3.6881710788124565E+001                  3.1773404870511024E+002                  0.0000000000000000E+000                  7.9517570838619713E+000                  1.6626460445661367E-035                  0.0000000000000000E+000                  7.9517570838619713E+000                  5.6843418860808015E-014                  3.3289699515363089E-004                  9.0781602884613175E+000                  1.3525334782470463E+002                  0.0000000000000000E+000                  3.0759708297818274E+003                  1.2548782750642873E+000                  7.5581115851949121E-001                  4.1417760298971251E-017                  2.6091862505678513E-005                  2.4226537437032158E-001                  1.0996648287014601E-009                  1.2397795287295512E-044                  3.2003551790532364E-099                  3.3068019671037263E-004                  1.0143206624977357E-004                  9.2032931269133366E-004                  1.8484723680420729E-004                  3.6008533556088648E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     874                  1.1299519051736411E+008                  1.8000000000000000E+000                  1.1023649300883941E+004                  1.8932823992886352E+001                  1.1945814275253648E+000                  1.8932823992886352E+001                  1.1945814275253648E+000                  3.4572464692732574E+004                  2.2310023880063336E+007                  9.2762600542215054E+001                  2.7814909427666944E+017                 -2.3496158809657284E+000                  6.2185171990609600E-001                  8.4747364827447458E-001                  6.9494603750260908E-001                  3.0308514280183385E-001                  5.9607778375038352E-006                  9.3548799442795105E-004                  4.4992177146325406E-004                  0.0000000000000000E+000                  2.3892367093019859E-001                  0.0000000000000000E+000                  1.3248932941489966E-001                  7.8130944825005599E-008                  9.9999999978157872E-001                  9.9999999956321106E-001                  1.6492320642546754E-001                  7.8130944825005599E-008                  1.0000000000000000E+000                  9.9584298963006224E-001                  1.6428034039448408E-001                  1.2877772327260972E-003                  1.1874915781841122E+000                  1.1857346432750688E+000                  1.7891793850888299E-001                  1.2877772327260972E-003                  1.1945814275253648E+000                  8.0815564437773746E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.2882234496039220E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2776693734822366E+000                 -3.6631709793987994E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2179922244242033E-002                 -1.7033123738015821E+000                  1.1588226958851828E+000                  6.5680304652632293E-001                 -3.6631709793987994E+001                 -2.6693904605247944E+001                 -2.8907089791014460E+001                 -3.6953359305400731E+001                  4.0405412034766562E+002                  0.0000000000000000E+000                  7.9524375024139431E+000                  4.2835622685921712E-035                  0.0000000000000000E+000                  7.9524375024139431E+000                  5.6843418860808015E-014                  1.2302817270734746E-002                  9.6034926777331311E+000                  1.2664500905911072E+002                  0.0000000000000000E+000                  2.8306825766403258E+003                  1.2772153975377838E+000                  8.0527042206287358E-001                  5.4068372683224569E-017                  2.2450066461909456E-005                  1.9318062242341263E-001                  8.9365784043306729E-010                  1.1943835912971050E-042                  0.0000000000000000E+000                  2.6873183787749983E-004                  8.2430172275746601E-005                  7.4791835166559593E-004                  1.4498707693330184E-004                  2.8243711484212942E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     905                  2.0996992784209472E+008                  1.8000000000000000E+000                  1.0960972163484201E+004                  1.9952134582520117E+001                  1.2403817553262249E+000                  1.9952134582520117E+001                  1.2403817553262249E+000                  3.2066467455498547E+004                  2.2630692352198534E+007                  9.4056005051541533E+001                  2.7504843830634090E+017                 -2.3894303883690089E+000                  6.4674005474133200E-001                  8.2239216157034423E-001                  6.4478333785340314E-001                  3.5327435794541495E-001                  7.3032634365588706E-006                  1.1202935344410191E-003                  2.3781175912437205E-004                  0.0000000000000000E+000                  2.3801017818522344E-001                  0.0000000000000000E+000                  1.2610477612901699E-001                  7.8130944936027902E-008                  9.9999999974446929E-001                  9.9999999952551633E-001                  1.5837955943202825E-001                  7.8130944936027902E-008                  1.0000000000000000E+000                  9.9491924548275257E-001                  1.6081517819989960E-001                  1.2818470409334353E-003                  1.2325392097907861E+000                  1.2307971804553475E+000                  1.7575104599475719E-001                  1.2818470409334353E-003                  1.2403817553262249E+000                  8.1809280783919502E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.4582926314780750E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3004245376432795E+000                 -3.6165793022751409E+001                 -1.4449439791871097E+001                 -9.8999999999999986E+001                  1.2847170368244780E-002                 -1.6989199015940009E+000                  1.1367166596647100E+000                  7.9742407455049480E-001                 -3.6165793022751409E+001                 -2.6328849938042715E+001                 -2.8517390632287501E+001                 -3.6890805158487439E+001                  4.8178967569902574E+002                  0.0000000000000000E+000                  7.9504329648861445E+000                  1.3026479839308580E-034                  0.0000000000000000E+000                  7.9504329648861445E+000                  5.6843418860808015E-014                  1.7544918241301221E-004                  8.9836232644715377E+000                  1.1983614264907497E+002                  0.0000000000000000E+000                  2.6329954346277491E+003                  1.2999893655775667E+000                  8.1773154743797616E-001                  6.4035227408731219E-017                  2.1492923971065254E-005                  1.8080839359607523E-001                  8.4101326636353821E-010                  5.0334506000690871E-042                  0.0000000000000000E+000                  2.5290108867783513E-004                  7.7574285477631646E-005                  7.0385915890094040E-004                  1.3711957365652696E-004                  2.6711109425116676E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     940                  2.9753982960913759E+008                  1.8000000000000000E+000                  1.0901053287672248E+004                  2.1017343716430101E+001                  1.2870956561074753E+000                  2.1017343716430101E+001                  1.2870956561074753E+000                  2.9781063961514596E+004                  2.3001866895376109E+007                  9.6128651330476572E+001                  2.7411780759065526E+017                 -2.4244076338148330E+000                  6.7444294773954483E-001                  7.9713694458876883E-001                  5.9427315234190858E-001                  4.0379619572491315E-001                  8.0453671241491725E-006                  1.2024910767038132E-003                  1.4368673439639300E-004                  0.0000000000000000E+000                  2.3385719034745467E-001                  0.0000000000000000E+000                  1.2610477612901716E-001                  7.8130945047050204E-008                  9.9999999970540676E-001                  9.9999999947799956E-001                  1.5837955943202842E-001                  7.8130945047050204E-008                  1.0000000000000000E+000                  9.9379688588028570E-001                  1.6005524402533158E-001                  1.2725673168764483E-003                  1.2785230136197601E+000                  1.2767574369505075E+000                  1.7502229948036113E-001                  1.2725673168764483E-003                  1.2870956561074753E+000                  8.2670208348119778E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.4582926314780808E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3230194565313633E+000                 -3.5682411667652381E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  6.9669084706113923E-002                 -1.6699309019070721E+000                  1.1142223920869205E+000                  9.0473564066404366E-001                 -3.5682411667652381E+001                 -2.5986159483339254E+001                 -2.8146736230547610E+001                 -3.6737800522017245E+001                  5.7047339761337446E+002                  0.0000000000000000E+000                  7.9472775248390697E+000                  4.1402989701914087E-034                  0.0000000000000000E+000                  7.9472775248390697E+000                  5.6843418860808015E-014                  2.8801629380498149E-002                  9.7247111149259009E+000                  1.1352866402852986E+002                  0.0000000000000000E+000                  2.4520510194015619E+003                  1.3225778267163268E+000                  8.2393735195124873E-001                  6.8490209632954081E-017                  2.1009424386650169E-005                  1.7464578645071557E-001                  8.1474349317864660E-010                  8.1204948146143629E-042                  0.0000000000000000E+000                  2.4500150554873803E-004                  7.5151185917188856E-005                  6.8187351239391663E-004                  1.3358990705622880E-004                  2.6023524798935582E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     978                  3.7837048098810714E+008                  1.8000000000000000E+000                  1.0835410722222054E+004                  2.2129456349138191E+001                  1.3367600336628243E+000                  2.2129456349138191E+001                  1.3367600336628243E+000                  2.7609271874290560E+004                  2.3402452691535182E+007                  9.8621617267538468E+001                  2.7413378242541280E+017                 -2.4569324683618903E+000                  7.0388853485936875E-001                  7.7198523919334450E-001                  5.4396994848240743E-001                  4.5410451471698959E-001                  8.4992813944000174E-006                  1.2362142707668074E-003                  1.0483777257772438E-004                  0.0000000000000000E+000                  2.2813595509532053E-001                  0.0000000000000000E+000                  1.2610477612901738E-001                  7.8130945047050204E-008                  9.9999999967415687E-001                  9.9999999941548268E-001                  1.5837955943202864E-001                  7.8130945047050204E-008                  1.0000000000000000E+000                  9.9243545719714865E-001                  1.5913819682685892E-001                  1.2617529869627226E-003                  1.3275532874195157E+000                  1.3256097879300828E+000                  1.7413287309065720E-001                  1.2617529869627226E-003                  1.3367600336628243E+000                  8.3493317323616911E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.2882234496039306E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3454283806399414E+000                 -3.5200035971781752E+001                 -1.4148409796207115E+001                 -9.8999999999999986E+001                  1.1921042225028210E-001                 -1.6320683934075051E+000                  1.0864935921515979E+000                  9.9778071024720860E-001                 -3.5200035971781752E+001                 -2.5654223871677338E+001                 -2.7785209715051831E+001                 -3.6491413076086289E+001                  6.7759961761774377E+002                  0.0000000000000000E+000                  7.9435711012221493E+000                  1.3185108018191787E-033                  0.0000000000000000E+000                  7.9435711012221493E+000                  1.1368683772161603E-013                  6.4779262063456848E-004                  9.1670011744119044E+000                  1.0742998994420989E+002                  0.0000000000000000E+000                  2.2801099431886246E+003                  1.3449707448143109E+000                  8.2710884193378398E-001                  7.0643018954900431E-017                  2.0760545288799223E-005                  1.7149516730735459E-001                  8.0132888088355766E-010                  1.0220501861115100E-041                  0.0000000000000000E+000                  2.4096759788127769E-004                  7.3913834561280945E-005                  6.7064658224209775E-004                  1.3219108229287665E-004                  2.5751031526647072E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1019                  4.5228531351941550E+008                  1.8000000000000000E+000                  1.0757178295594495E+004                  2.3260306408098618E+001                  1.3904962382482233E+000                  2.3260306408098618E+001                  1.3904962382482233E+000                  2.5516565704566383E+004                  2.3823724034827340E+007                  1.0145419455565437E+002                  2.7449259381671763E+017                 -2.4885562510047814E+000                  7.3575053455809436E-001                  7.4659847097271859E-001                  4.9319658051017190E-001                  5.0487972430054284E-001                  8.8347251145336728E-006                  1.2492618216284684E-003                  8.9916658268603957E-005                  0.0000000000000000E+000                  2.2287534457990454E-001                  0.0000000000000000E+000                  1.2292289727838768E-001                  7.8130945158072507E-008                  9.9999999962337571E-001                  9.9999999933702377E-001                  1.5186725336742424E-001                  7.8130945158072507E-008                  1.0000000000000000E+000                  9.9078711219324556E-001                  1.5656645200254043E-001                  1.2498993608530105E-003                  1.3804700413231128E+000                  1.3784286694307224E+000                  1.7025194642394348E-001                  1.2498993608530105E-003                  1.3904962382482233E+000                  8.4321721013182849E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1190210873126110E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3671062868085107E+000                 -3.4721368093676261E+001                 -1.3750469787535078E+001                 -9.8999999999999986E+001                  1.6166785349794424E-001                 -1.5799733632174953E+000                  1.0490788497366237E+000                  1.0824334658989516E+000                 -3.4721368093676261E+001                 -2.5327271712826551E+001                 -2.7427949250541769E+001                 -3.6170602121847573E+001                  8.0876512562745756E+002                  0.0000000000000000E+000                  7.9394718056842173E+000                  4.1860553027184232E-033                  0.0000000000000000E+000                  7.9394718056842173E+000                  1.1368683772161603E-013                  5.7363322858672298E-005                  8.8098762481090791E+000                  1.0143658642739706E+002                  0.0000000000000000E+000                  2.1149327514423767E+003                  1.3666154313928578E+000                  8.2863401489981225E-001                  7.1741389470588943E-017                  2.0640762468767522E-005                  1.6997881401725237E-001                  7.9501089470367070E-010                  1.1617181488399325E-041                  0.0000000000000000E+000                  2.3906771727768848E-004                  7.3331069650750939E-005                  6.6535894836655446E-004                  1.3187574904306940E-004                  2.5689604111753847E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1063                  5.1882604542030460E+008                  1.8000000000000000E+000                  1.0662165347580305E+004                  2.4388760849550369E+001                  1.4493153020361735E+000                  2.4388760849550369E+001                  1.4493153020361735E+000                  2.3487462698927557E+004                  2.4250630779591311E+007                  1.0449246213087065E+002                  2.7463700010938634E+017                 -2.5197595339327856E+000                  7.7086018314998039E-001                  7.2140656900628763E-001                  4.4281290201598861E-001                  5.5526401153975913E-001                  9.1251885824715159E-006                  1.2545281996430939E-003                  8.3939429803250835E-005                  0.0000000000000000E+000                  2.1760276379603527E-001                  0.0000000000000000E+000                  1.1660519048463991E-001                  7.8130945158072507E-008                  9.9999999957650054E-001                  9.9999999923862015E-001                  1.4537465847300912E-001                  7.8130945158072507E-008                  1.0000000000000000E+000                  9.8897475771236176E-001                  1.5237311588551272E-001                  1.2376658110504876E-003                  1.4385035499926153E+000                  1.4362325224966699E+000                  1.6630989919379299E-001                  1.2376658110504876E-003                  1.4493153020361735E+000                  8.5362810086436203E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7839337138284564E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3877378796783340E+000                 -3.4256888727482121E+001                 -1.3972318537151434E+001                 -9.8999999999999986E+001                  1.9670206620178463E-001                 -1.5114286549721772E+000                  1.0004954854923107E+000                  1.1586081325409268E+000                 -3.4256888727482121E+001                 -2.5009996310257410E+001                 -2.7080543255059048E+001                 -3.5820181324953090E+001                  9.6387605577244165E+002                  0.0000000000000000E+000                  7.9352001539773394E+000                  1.2882498176115978E-032                  0.0000000000000000E+000                  7.9352001539773394E+000                  2.2737367544323206E-013                  2.3395080337491048E-003                  9.3457497718895937E+000                  9.5503282877158668E+001                  0.0000000000000000E+000                  1.9554058988070390E+003                  1.3871897351282578E+000                  8.2907093399818166E-001                  7.2310654919625123E-017                  2.0606982584393826E-005                  1.6954300161403668E-001                  7.9340540177600324E-010                  1.2557636043633199E-041                  0.0000000000000000E+000                  2.3858493227341867E-004                  7.3182981313364327E-005                  6.6401529006594262E-004                  1.3218158796777715E-004                  2.5749182017128575E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1115                  5.8001935410464048E+008                  1.8000000000000000E+000                  1.0544971549917560E+004                  2.5537720738311982E+001                  1.5162090288926842E+000                  2.5537720738311982E+001                  1.5162090288926842E+000                  2.1460691003856071E+004                  2.4690878891218543E+007                  1.0776876217108749E+002                  2.7445194855723638E+017                 -2.5515466442301031E+000                  8.1074776892412204E-001                  6.9621231031902275E-001                  3.9242447105372541E-001                  6.0565279222251611E-001                  9.4022252637217985E-006                  1.2572600833179832E-003                  8.0701938975132157E-005                  0.0000000000000000E+000                  2.1038418832758349E-001                  0.0000000000000000E+000                  1.1660519048463980E-001                  7.8130945269094809E-008                  9.9999999950618801E-001                  9.9999999910938997E-001                  1.4537465847300901E-001                  7.8130945269094809E-008                  1.0000000000000000E+000                  9.8661061632224911E-001                  1.5137494814198371E-001                  1.2249943447800700E-003                  1.5044006449963363E+000                  1.5018741290458673E+000                  1.6536311549187058E-001                  1.2249943447800700E-003                  1.5162090288926842E+000                  8.6392148230826327E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6537493807331229E+030                  3.6182347511059213E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4077816751820376E+000                 -3.3800903369559336E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.2542854488268879E-001                 -1.4524861278584058E+000                  9.3987183455036782E-001                  1.2270103922530127E+000                 -3.3800903369559336E+001                 -2.4698132215062756E+001                 -2.6738571860493781E+001                 -3.5461405796572265E+001                  1.1486156506962402E+003                  0.0000000000000000E+000                  7.9307308434775754E+000                  3.9395965532905972E-032                  0.0000000000000000E+000                  7.9307308434775754E+000                  2.2737367544323206E-013                  8.4381420071277793E-007                  8.1920470780294679E+000                  8.9444038355314689E+001                  0.0000000000000000E+000                  1.7965715562013033E+003                  1.4071821335324872E+000                  8.2873018957479283E-001                  7.2604910498734975E-017                  2.0634748420052175E-005                  1.6987910056746286E-001                  7.9516536488715590E-010                  1.3214050440666994E-041                  0.0000000000000000E+000                  2.3911417730837571E-004                  7.3345320691356008E-005                  6.6548825314057675E-004                  1.3301372560070075E-004                  2.5911283741755125E-004                  1.5540720281780108E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1173                  6.3576573199248576E+008                  1.8000000000000000E+000                  1.0408202760931628E+004                  2.6668847203781006E+001                  1.5904113626737548E+000                  2.6668847203781006E+001                  1.5904113626737548E+000                  1.9504863653143031E+004                  2.5142802416909821E+007                  1.1133607049881780E+002                  2.7418360955255347E+017                 -2.5835395035383097E+000                  8.5352544592387258E-001                  6.7099302716527331E-001                  3.4198596600988751E-001                  6.5609155474259306E-001                  9.6896572836365807E-006                  1.2592835009843002E-003                  7.8195362989315857E-005                  0.0000000000000000E+000                  2.0348290224887736E-001                  0.0000000000000000E+000                  1.0723271733710960E-001                  7.8130945380117112E-008                  9.9999999942025042E-001                  9.9999999894409108E-001                  1.3409066663252589E-001                  7.8130945380117112E-008                  1.0000000000000000E+000                  9.8402646209782318E-001                  1.4546921209650229E-001                  1.2117687612702467E-003                  1.5774915579188191E+000                  1.5747476784034127E+000                  1.5906428271059334E-001                  1.2117687612702467E-003                  1.5904113626737548E+000                  8.7698968434529168E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0561624614963123E+031                  3.3992306314196777E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4266653327264756E+000                 -3.3349442043120128E+001                 -1.4449439791871097E+001                 -9.8999999999999986E+001                  2.4948280803528347E-001                 -1.3911920440248113E+000                  8.6539927803689276E-001                  1.2872302350402780E+000                 -3.3349442043120128E+001                 -2.4389187504935578E+001                 -2.6400063756308374E+001                 -3.5102306620290904E+001                  1.3609408652845734E+003                  0.0000000000000000E+000                  7.9260165121375747E+000                  1.2036765423264463E-031                  0.0000000000000000E+000                  7.9260165121375747E+000                  2.2737367544323206E-013                  1.2058975328995023E-003                  9.2392666750611561E+000                  8.3457746239791078E+001                  0.0000000000000000E+000                  1.6435335386970330E+003                  1.4260042431417992E+000                  8.2782951081022593E-001                  7.2739296304139589E-017                  2.0707052672454177E-005                  1.7077126257178199E-001                  7.9934572255140540E-010                  1.3735617908492602E-041                  1.0990594882076087E-099                  2.4037126575763499E-004                  7.3730917047398807E-005                  6.6898690640136336E-004                  1.3413417880971080E-004                  2.6129549795780047E-004                  4.5813036920941070E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
