                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      1.6000000000000001E+000      3.4950000000000002E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne22                           mass_conv_core                             he_core_mass                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling 
                                     790                  2.4899183282738496E+007                  1.6000000000000003E+000                  6.9433787112110122E+003                  5.3211614735901875E+000                  1.5963214464762530E+000                  5.3211614735901875E+000                  1.5963214464762530E+000                  1.7209515320517308E+004                  1.8523471020417932E+007                  7.0908476661301890E+001                  1.7208294718166208E+017                 -2.3563597110338317E+000                  6.3658420826825712E-001                  8.3439720940939865E-001                  6.6879107245969471E-001                  2.9524441508988442E-001                  4.2135866265705844E-005                  8.8949919225367845E-003                  1.6847200012618004E-002                  0.0000000000000000E+000                  9.4164724427584834E-002                  0.0000000000000000E+000                  5.4270924721849301E-002                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9999818443022737E-001                  6.3891754229131348E-002                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9744627947040010E-001                  1.2441859070825066E-001                  1.3541899921097557E-003                  1.5963214464762530E+000                  1.5322354804519760E+000                  1.3197364227985808E-001                  1.3541899921097557E-003                  1.5963214464762530E+000                  1.1062613797896412E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.8103227370243172E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.2041627273549758E-001                 -4.0648124015399347E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.9056493047016687E-001                 -1.1671451899801999E+000                  5.5646763450052239E-001                  2.1794121473618847E-001                 -4.0648124015399347E+001                 -2.9076970244089473E+001                 -3.1635534532528936E+001                 -3.9464718370857412E+001                  1.1514536828469689E+002                  0.0000000000000000E+000                  7.9742763596051205E+000                  5.2981404489510640E-039                  0.0000000000000000E+000                  7.9742763596051205E+000                  1.4210854715202004E-014                  1.8322743479959949E-002                  9.7017471030304776E+000                  8.4146838842092180E+001                  0.0000000000000000E+000                  1.7754430110662454E+003                  7.2600643803112308E-001                  6.7921828074300628E-001                  3.8819808221687143E-017                  3.0762854821443693E-005                  2.8677402563917742E-001                  1.0761567980890323E-008                  2.9477381925433121E-044                  5.4072611625280711E-099                  5.9155126079197219E-003                  1.8145104324872340E-003                  1.6463700296611202E-002                  3.3185699703714776E-003                  6.4646266940372550E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     801                  4.5157145679247282E+007                  1.6000000000000003E+000                  6.9570563713828642E+003                  5.2574105683164882E+000                  1.5804972286114827E+000                  5.2574105683164882E+000                  1.5804972286114827E+000                  1.7555849889759480E+004                  1.8765805647862896E+007                  7.1030311382159042E+001                  1.7413041385746294E+017                 -2.3771038885684437E+000                  6.3845946003344189E-001                  8.3257298572242899E-001                  6.6514255734664418E-001                  2.9889705291318336E-001                  4.2834796047618899E-005                  8.9625224890194904E-003                  1.6773221724555126E-002                  0.0000000000000000E+000                  1.3653402988663291E-001                  0.0000000000000000E+000                  8.1882795696931854E-002                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9999860938757823E-001                  1.0375966914028273E-001                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9761327304173719E-001                  1.4436606866200635E-001                  1.3534152910093227E-003                  1.5804972286114827E+000                  1.5193360795695710E+000                  1.5768780442465602E-001                  1.3534152910093227E-003                  1.5804972286114827E+000                  1.0999460577991536E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.9187672235043095E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.2052351434533923E-001                 -4.0362452705243548E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.0182870115769547E-001                 -2.5220179060495722E+000                  5.8181290920772644E-001                  1.5733796649151263E-001                 -4.0362452705243548E+001                 -2.8844899185730402E+001                 -3.1369305674005791E+001                 -3.9176741244532920E+001                  1.3890130664662607E+002                  0.0000000000000000E+000                  7.9740278385785732E+000                  1.0028346604996769E-038                  0.0000000000000000E+000                  7.9740278385785732E+000                  2.8421709430404007E-014                  7.5004728383731855E-007                  8.2353428876456363E+000                  8.5214511377508970E+001                  0.0000000000000000E+000                  1.8093918166286264E+003                  7.2077189381351836E-001                  7.0778680579680697E-001                  4.0452675727855150E-017                  2.8913998814620994E-005                  2.6157040489826672E-001                  9.8527508887825464E-009                  2.6988009691773715E-044                  4.6606176065764818E-099                  5.4159460971470313E-003                  1.6612745752387621E-003                  1.5073336712441135E-002                  2.8708489637531980E-003                  5.5924591047807276E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     835                  3.0044865021163005E+008                  1.6000000000000003E+000                  6.8948104759635853E+003                  5.4521060875094189E+000                  1.6386881746479449E+000                  5.4521060875094189E+000                  1.6386881746479449E+000                  1.6331147326021377E+004                  1.9132142800173447E+007                  7.2783867709614711E+001                  1.7464266196403120E+017                 -2.4129640372895382E+000                  6.6549653984681367E-001                  8.0750328456825116E-001                  6.1500376279953328E-001                  3.4912018750313101E-001                  4.9214412986342769E-005                  9.9881888107695698E-003                  1.5640726030209731E-002                  0.0000000000000000E+000                  1.5587187976125186E-001                  0.0000000000000000E+000                  9.6114115436885528E-002                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9999876623708317E-001                  1.1621010333038539E-001                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9726786580219717E-001                  1.5226180290018512E-001                  1.3424576941380251E-003                  1.6386881746479449E+000                  1.5766361365534400E+000                  1.6362636521964952E-001                  1.3424576941380251E-003                  1.6386881746479449E+000                  1.1169011257001746E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0114786994350493E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.3697862215213772E-001                 -3.9769671402337146E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.5310177453304019E-001                 -2.2836743469128797E+000                  5.7271781129201105E-001                  2.3518343306112879E-001                 -3.9769671402337146E+001                 -2.8404560351823537E+001                 -3.0892115618786534E+001                 -3.8737145153419895E+001                  1.7201963277204158E+002                  0.0000000000000000E+000                  7.9704973680488624E+000                  4.0722693384899624E-038                  0.0000000000000000E+000                  7.9704973680488624E+000                  2.8421709430404007E-014                  8.5212042896840156E-003                  9.5850125288651942E+000                  8.0896887518052282E+001                  0.0000000000000000E+000                  1.6907486699351844E+003                  7.3656429778106736E-001                  7.9769174305436075E-001                  4.7260887898370631E-017                  2.2623343931481778E-005                  1.8118122866199365E-001                  6.9909200639003042E-009                  3.5639472068016583E-044                  0.0000000000000000E+000                  3.8428299530482782E-003                  1.1787406269251610E-003                  1.0695134104491660E-002                  1.8275659470002666E-003                  3.5601273173288287E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     872                  5.4193130585473990E+008                  1.6000000000000003E+000                  6.8272098747505443E+003                  5.6569164950613127E+000                  1.7024023615816493E+000                  5.6569164950613127E+000                  1.7024023615816493E+000                  1.5131602007544569E+004                  1.9401682881829035E+007                  7.4512574373813962E+001                  1.7367844351608669E+017                 -2.4428253742538333E+000                  6.9496900764617286E-001                  7.8206864146840627E-001                  5.6413499801401656E-001                  4.0010087827115876E-001                  5.5840335734749552E-005                  1.1072404114084429E-002                  1.4425465279877725E-002                  0.0000000000000000E+000                  1.5745458097740206E-001                  0.0000000000000000E+000                  9.6114115436885250E-002                  7.8129925640268993E-008                  1.0000000000000000E+000                  9.9999771096337042E-001                  1.2182230994094700E-001                  7.8129925640268993E-008                  1.0000000000000000E+000                  9.9676678600414281E-001                  1.5143702850303217E-001                  1.3319945948024703E-003                  1.7024023615816493E+000                  1.6271712481006353E+000                  1.6580411432977626E-001                  1.3319945948024703E-003                  1.7024023615816493E+000                  1.1397707807444484E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1148829749753210E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5302844165232063E-001                 -3.9315698488235768E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.9915915133607234E-001                 -2.2330514278499414E+000                  5.4279303927227340E-001                  3.3706452037568096E-001                 -3.9315698488235768E+001                 -2.8072732267899390E+001                 -3.0534607188117700E+001                 -3.8430867809184676E+001                  2.0211781814988331E+002                  0.0000000000000000E+000                  7.9670992221875245E+000                  1.2168694909089134E-037                  0.0000000000000000E+000                  7.9670992221875245E+000                  2.8421709430404007E-014                  6.8635611577612119E-003                  9.5499531896121930E+000                  7.6851283245263232E+001                  0.0000000000000000E+000                  1.5742975054258038E+003                  7.5257976792164449E-001                  8.1599026617079395E-001                  5.4227372212337113E-017                  2.1260081266074744E-005                  1.6458739328292135E-001                  6.3976826667170292E-009                  8.0791666071157331E-043                  1.5857250221865658E-099                  3.5167340432197265E-003                  1.0787147340562406E-003                  9.7875635041658748E-003                  1.7021828062348814E-003                  3.3158789796590839E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     911                  7.6653460743002880E+008                  1.6000000000000003E+000                  6.7556792048023981E+003                  5.8487258286157120E+000                  1.7678744958553230E+000                  5.8487258286157120E+000                  1.7678744958553230E+000                  1.4031576714021632E+004                  1.9655131239503782E+007                  7.6177806170405418E+001                  1.7219907654508989E+017                 -2.4728739771058525E+000                  7.2554471661723785E-001                  7.5709840952417895E-001                  5.1419498566574162E-001                  4.5017144236874002E-001                  6.2542073576972733E-005                  1.2136944766328711E-002                  1.3216901712151206E-002                  0.0000000000000000E+000                  1.5777541292979300E-001                  0.0000000000000000E+000                  9.6114115436885639E-002                  7.8129925640268993E-008                  1.0000000000000000E+000                  9.9999526559758833E-001                  1.2182230994094734E-001                  7.8129925640268993E-008                  1.0000000000000000E+000                  9.9617629290437759E-001                  1.5071570108042015E-001                  1.3222172886410367E-003                  1.7678744958553230E+000                  1.6763522636851931E+000                  1.6511150644329264E-001                  1.3222172886410367E-003                  1.7678744958553230E+000                  1.1648918232104872E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1727496890799741E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.6755898761568175E-001                 -3.8909021737200661E+001                 -1.4750469787535078E+001                 -9.8999999999999986E+001                 -5.5165030121440939E-001                 -2.1734870981137488E+000                  5.0536758580291374E-001                  4.2387290686651458E-001                 -3.8909021737200661E+001                 -2.7773767297178068E+001                 -3.0211962775204693E+001                 -3.8159612776472322E+001                  2.3663533681359874E+002                  0.0000000000000000E+000                  7.9638995911806783E+000                  3.2690088302457435E-037                  0.0000000000000000E+000                  7.9638995911806783E+000                  2.8421709430404007E-014                  1.5537013925310817E-004                  8.9965693153607624E+000                  7.3102660417046607E+001                  0.0000000000000000E+000                  1.4675587285199424E+003                  7.6706126336877556E-001                  8.2450879099770935E-001                  6.0313680537563573E-017                  2.0603990587918244E-005                  1.5683570840659067E-001                  6.1120419666349799E-009                  3.5863231426651150E-042                  1.3713534151906548E-099                  3.3597205702601139E-003                  1.0305527904426841E-003                  9.3505730129094852E-003                  1.6601146236371054E-003                  3.2339294958205127E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     955                  9.7867121089219546E+008                  1.6000000000000003E+000                  6.6801013772339365E+003                  6.0302258584230612E+000                  1.8359443754983584E+000                  6.0302258584230612E+000                  1.8359443754983584E+000                  1.3010389485231732E+004                  1.9906583792006765E+007                  7.7931030534422561E+001                  1.7045780935041344E+017                 -2.5030709332921730E+000                  7.5904341588203217E-001                  7.3211550669121306E-001                  4.6422957516735625E-001                  5.0027107326923415E-001                  6.9241698977254572E-005                  1.3159709411750523E-002                  1.2049061120150048E-002                  0.0000000000000000E+000                  1.5675941881478545E-001                  0.0000000000000000E+000                  9.6114115436885417E-002                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9998960494664846E-001                  1.2182230994094712E-001                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9532794781519196E-001                  1.5001140328854365E-001                  1.3122266249496551E-003                  1.8359443754983584E+000                  1.7219717333993068E+000                  1.6445031498593218E-001                  1.3122266249496551E-003                  1.8359443754983584E+000                  1.1884785617071016E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2122387774747534E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.8087323712877532E-001                 -3.8525726600548865E+001                 -1.5051499783199059E+001                 -9.8999999999999986E+001                 -5.0987337833705726E-001                 -2.1250634864121252E+000                  4.6007712131868644E-001                  4.9874876898104720E-001                 -3.8525726600548865E+001                 -2.7491785841079643E+001                 -2.9906824940938936E+001                 -3.7903942834000034E+001                  2.7681210181844324E+002                  0.0000000000000000E+000                  7.9606056050079266E+000                  8.3536838395954254E-037                  0.0000000000000000E+000                  7.9606056050079266E+000                  5.6843418860808015E-014                  1.2000756505781144E-005                  8.6235858010205693E+000                  6.9568602342371662E+001                  0.0000000000000000E+000                  1.3684290826986162E+003                  7.8033357867910169E-001                  8.2289151651220038E-001                  6.4531747666215363E-017                  2.0741445244563099E-005                  1.5810114981581949E-001                  6.1505519129919578E-009                  8.5089151790507506E-042                  1.3805510105110828E-099                  3.3808890536794530E-003                  1.0370459612858661E-003                  9.4094878677709153E-003                  1.7500459853071570E-003                  3.4091172081399780E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1004                  1.1799391654959173E+009                  1.6000000000000003E+000                  6.6000996194050849E+003                  6.2006113034087527E+000                  1.9071072139642185E+000                  6.2006113034087527E+000                  1.9071072139642185E+000                  1.2057551295250554E+004                  2.0163914590931736E+007                  7.9853689399699263E+001                  1.6860394716882067E+017                 -2.5330498874508312E+000                  7.9676827196003275E-001                  7.0715467468643378E-001                  4.1430825932581722E-001                  5.5032976620740104E-001                  7.5893316119077800E-005                  1.4123675372833978E-002                  1.0939509278243770E-002                  0.0000000000000000E+000                  1.5448888183791742E-001                  0.0000000000000000E+000                  9.6114115436885639E-002                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9997587639314278E-001                  1.2182230994094734E-001                  7.8129925529246691E-008                  1.0000000000000000E+000                  9.9439046863458447E-001                  1.4928622936909905E-001                  1.3016093399828522E-003                  1.9071072139642185E+000                  1.7633179191538404E+000                  1.6378229268496636E-001                  1.3016093399828522E-003                  1.9071072139642185E+000                  1.2175247263871301E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2122387774747588E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.9301973063955022E-001                 -3.8154341866288412E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.7336818991041196E-001                 -2.0777372813269879E+000                  4.0561790359811006E-001                  5.6400073002229878E-001                 -3.8154341866288412E+001                 -2.7218397840791440E+001                 -2.9610146661706764E+001                 -3.7653882029100423E+001                  3.2360954724963176E+002                  0.0000000000000000E+000                  7.9570774160199038E+000                  2.0859072298065676E-036                  0.0000000000000000E+000                  7.9570774160199038E+000                  5.6843418860808015E-014                  5.0843291318525287E-005                  8.8270765720467317E+000                  6.6200234595450382E+001                  0.0000000000000000E+000                  1.2758728532052426E+003                  7.9243450766115064E-001                  8.1597311385058491E-001                  6.7383539309392868E-017                  2.1287848905245379E-005                  1.6412589593755358E-001                  6.3623512988621201E-009                  1.5173243246813239E-041                  1.5720994669789673E-099                  3.4973127885680718E-003                  1.0727575040630644E-003                  9.7335114318575257E-003                  1.8914804662365774E-003                  3.6846338098796231E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1053                  1.3652932374501295E+009                  1.6000000000000003E+000                  6.5181569634505340E+003                  6.3472885506142962E+000                  1.9783509163964295E+000                  6.3472885506142962E+000                  1.9783509163964295E+000                  1.1204763108593221E+004                  2.0434130497577854E+007                  8.2154861000659551E+001                  1.6696731136451565E+017                 -2.5607527812958066E+000                  8.3927955947340227E-001                  6.8184589458183120E-001                  3.6369102256821728E-001                  6.0106778811992323E-001                  8.2554823008485983E-005                  1.5017078474088716E-002                  9.9146149819146767E-003                  0.0000000000000000E+000                  1.5250950864737259E-001                  0.0000000000000000E+000                  8.9320637050313900E-002                  7.8129925418224389E-008                  1.0000000000000000E+000                  9.9994286247606934E-001                  1.1268676989719872E-001                  7.8129925418224389E-008                  1.0000000000000000E+000                  9.9338237176547017E-001                  1.4429872746176181E-001                  1.2893413068310496E-003                  1.9783509163964295E+000                  1.8001241599195901E+000                  1.5801115800908150E-001                  1.2893413068310496E-003                  1.9783509163964295E+000                  1.2515175926340176E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2517278658695521E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0323672480071151E-001                 -3.7783057739591015E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.4262212428672459E-001                 -2.0229746874377974E+000                  3.3902324030651554E-001                  6.2054480747414353E-001                 -3.7783057739591015E+001                 -2.6945520118460767E+001                 -2.9313674773509582E+001                 -3.7399843388697064E+001                  3.7791143476064349E+002                  0.0000000000000000E+000                  7.9529646561525409E+000                  5.2397215542762111E-036                  0.0000000000000000E+000                  7.9529646561525409E+000                  5.6843418860808015E-014                  4.7009934788168738E-003                  9.4809641462972678E+000                  6.3114969376977520E+001                  0.0000000000000000E+000                  1.1930641503481495E+003                  8.0258824198672085E-001                  8.0434534848049777E-001                  6.9259450381152817E-017                  2.2188550142019185E-005                  1.7440593536383878E-001                  6.7275484166531722E-009                  2.4022951067466701E-041                  3.4367751251183641E-099                  3.6980575275542271E-003                  1.1343334734338429E-003                  1.0292212162941286E-002                  2.0698388862170642E-003                  4.0320788278265197E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1116                  1.5315247588487294E+009                  1.6000000000000003E+000                  6.4385960164728431E+003                  6.4635163780478582E+000                  2.0460248783309365E+000                  6.4635163780478582E+000                  2.0460248783309365E+000                  1.0475807654434517E+004                  2.0710882545862090E+007                  8.4898581139155382E+001                  1.6589107148505274E+017                 -2.5841752063770826E+000                  8.8378452887263215E-001                  6.5686060597201146E-001                  3.1372068927552266E-001                  6.5114521887512122E-001                  8.8921223265355922E-005                  1.5824715812406968E-002                  8.9883179452105548E-003                  0.0000000000000000E+000                  1.4724952615864537E-001                  0.0000000000000000E+000                  8.9320637050313789E-002                  7.8129925307202086E-008                  1.0000000000000000E+000                  9.9987223569209238E-001                  1.1268676989719861E-001                  7.8129925307202086E-008                  1.0000000000000000E+000                  9.9232784237905203E-001                  1.4330383982041825E-001                  1.2752994544671433E-003                  2.0460248783309365E+000                  1.8259454783740545E+000                  1.5707172526982124E-001                  1.2752994544671433E-003                  2.0460248783309365E+000                  1.2885413767289253E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2122387774747606E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.1114825269484625E-001                 -3.7418095674011603E+001                 -1.4148409796207115E+001                 -9.8999999999999986E+001                 -4.1840325487303093E-001                 -1.9948520821582993E+000                  2.6266518135138472E-001                  6.6677373674452245E-001                 -3.7418095674011603E+001                 -2.6678546485341720E+001                 -2.9022472353261747E+001                 -3.7146827849299072E+001                  4.3761386875719120E+002                  0.0000000000000000E+000                  7.9482089336141142E+000                  1.3019457186233846E-035                  0.0000000000000000E+000                  7.9482089336141142E+000                  5.6843418860808015E-014                  8.5212042896840156E-003                  9.5637595361752741E+000                  6.0411040520522683E+001                  0.0000000000000000E+000                  1.1223167683524887E+003                  8.1046885361388687E-001                  7.9004903964289830E-001                  7.0487983132862434E-017                  2.3266416837239605E-005                  1.8712222091645747E-001                  7.1821604442709480E-009                  3.5475087263120371E-041                  4.1361259477104004E-099                  3.9479526347720850E-003                  1.2109857112242751E-003                  1.0987705254329789E-002                  2.2587471443233998E-003                  4.4000750969970508E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
