                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      2.0000000000000000E+000      1.9700000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne22                           mass_conv_core                             he_core_mass                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling 
                                     850                  6.6183982870746944E+006                  2.0000000000000000E+000                  1.2065460007074500E+004                  2.6951285425297616E+001                  1.1897639600295624E+000                  2.6951285425297616E+001                  1.1897639600295624E+000                  3.8725562125948592E+004                  2.3284881773315210E+007                  8.6762495805420343E+001                  2.8191984676425338E+017                 -2.4523067601800381E+000                  5.9910290495036456E-001                  8.7245731367594226E-001                  7.4491353032025409E-001                  2.5306283213074082E-001                  3.6885830700088142E-006                  5.4116770907404249E-004                  9.0227646613843236E-004                  0.0000000000000000E+000                  2.9790541394264763E-001                  0.0000000000000000E+000                  1.4538436552790274E-001                  7.8131317637897268E-008                  9.9999999986165666E-001                  9.9999999965873021E-001                  1.8138652940447603E-001                  7.8131317637897268E-008                  1.0000000000000000E+000                  9.9415404193975598E-001                  1.7987815089239648E-001                  1.3638739150143135E-003                  1.1840685966972124E+000                  1.1820295691546125E+000                  1.9618025683265528E-001                  1.3638739150143135E-003                  1.1897639600295624E+000                  7.9079797100893923E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.3017566579404749E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4315870098672470E+000                 -3.6044247132408373E+001                 -1.4449439791871097E+001                 -9.8999999999999986E+001                  1.4707743885086166E-001                 -1.2035365647102967E+000                  1.3096984812115511E+000                  8.2024571259556356E-001                 -3.6044247132408373E+001                 -2.6279553657057445E+001                 -2.8419132824311134E+001                 -3.5841797188908849E+001                  4.9679209884531764E+002                  0.0000000000000000E+000                  7.9773709829984316E+000                  1.4043347104150703E-034                  0.0000000000000000E+000                  7.9773709829984316E+000                  1.1368683772161605E-013                  3.7503032455088459E-006                  8.4393814900344601E+000                  1.3430880849795435E+002                  0.0000000000000000E+000                  3.0307444078656426E+003                  1.4305794834300178E+000                  7.5563688827353270E-001                  4.0436689187315947E-017                  2.6103697176326900E-005                  2.4243508565549449E-001                  1.1003787922191100E-009                  6.0127217238732544E-045                  1.1878290123719472E-099                  3.3089404368432925E-004                  1.0149766116790121E-004                  9.2092447877784186E-004                  1.8609299587990971E-004                  3.6251209390771434E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     875                  6.8927301425778285E+007                  2.0000000000000000E+000                  1.1912764598402431E+004                  2.7910855740892966E+001                  1.2419962725836451E+000                  2.7910855740892966E+001                  1.2419962725836451E+000                  3.5536836499530938E+004                  2.3228388377200481E+007                  8.3892261604509315E+001                  2.6457281208202323E+017                 -2.5037958009469370E+000                  6.1554728574249629E-001                  8.5420204258349242E-001                  7.0840305443459528E-001                  2.8963384915982876E-001                  6.5380777976726525E-006                  9.6436582761122642E-004                  4.1561657298290727E-004                  0.0000000000000000E+000                  3.1115918871254233E-001                  0.0000000000000000E+000                  1.5513304073585027E-001                  7.8131317637897268E-008                  9.9999999982845356E-001                  9.9999999963028052E-001                  1.9460685100161396E-001                  7.8131317637897268E-008                  1.0000000000000000E+000                  9.9309985871186279E-001                  1.8684023292398805E-001                  1.3792540502079753E-003                  1.2353894357592274E+000                  1.2334598532924264E+000                  2.0446014235804999E-001                  1.3792540502079753E-003                  1.2419962725836451E+000                  8.0668671985582430E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9131106320323454E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4463318109029513E+000                 -3.5957408925950979E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.8249918618386893E-001                 -1.4445882115640529E+000                  1.2582065480528879E+000                  9.9232215483274411E-001                 -3.5957408925950979E+001                 -2.6038874925951401E+001                 -2.8182279294217988E+001                 -3.6197594500204872E+001                  6.1233822468871631E+002                  0.0000000000000000E+000                  7.9822410276511180E+000                  1.7606162731607552E-034                  0.0000000000000000E+000                  7.9822410276511180E+000                  1.1368683772161603E-013                  1.0700671796908034E-002                  9.5971976430855559E+000                  1.2594540834583839E+002                  0.0000000000000000E+000                  2.7989555939474653E+003                  1.4457731520690837E+000                  7.8880045325837100E-001                  4.9497353798893783E-017                  2.3689684956508162E-005                  2.0951829824470491E-001                  9.6295487737048040E-010                  6.2009423655942084E-043                  0.0000000000000000E+000                  2.8956940601889330E-004                  8.8821838947135444E-005                  8.0591222295424805E-004                  1.6053319086926915E-004                  3.1272119022287203E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     906                  1.4894198279710761E+008                  2.0000000000000000E+000                  1.1820140273884992E+004                  2.9522943463316690E+001                  1.2974582827987948E+000                  2.9522943463316690E+001                  1.2974582827987948E+000                  3.2563609894770801E+004                  2.3490063115791555E+007                  8.4009694210317591E+001                  2.5752343527226592E+017                 -2.5527613890170842E+000                  6.4032264967193842E-001                  8.2863312733070582E-001                  6.5726544524140074E-001                  3.4080012266216941E-001                  8.0382063120166548E-006                  1.1648198409724669E-003                  1.8536363669363739E-004                  0.0000000000000000E+000                  3.0744367347505014E-001                  0.0000000000000000E+000                  1.5187637406753024E-001                  7.8131317748919571E-008                  9.9999999979720344E-001                  9.9999999958685659E-001                  1.8799127230108553E-001                  7.8131317748919571E-008                  1.0000000000000000E+000                  9.9130992469738088E-001                  1.8567816549096813E-001                  1.3786110896456267E-003                  1.2900696350787653E+000                  1.2881022105186128E+000                  2.0214963740224862E-001                  1.3786110896456267E-003                  1.2974582827987948E+000                  8.1599222905103164E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.6554591925807511E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4706334904147846E+000                 -3.5550396280715923E+001                 -1.3750469787535078E+001                 -9.8999999999999986E+001                  2.3956949326223512E-001                 -1.4917636905067688E+000                  1.2242107768576953E+000                  1.1071289454954345E+000                 -3.5550396280715923E+001                 -2.5724250563790292E+001                 -2.7848719894350292E+001                 -3.6275022306126601E+001                  7.3172337242348203E+002                  0.0000000000000000E+000                  7.9820385273726719E+000                  4.6829076541382363E-034                  0.0000000000000000E+000                  7.9820385273726719E+000                  1.1368683772161603E-013                  3.6992873409813498E-004                  9.1084723830791070E+000                  1.1809957217817484E+002                  0.0000000000000000E+000                  2.5748074217121289E+003                  1.4701596548498082E+000                  8.0176988055169940E-001                  6.0656969651153640E-017                  2.2716499312617600E-005                  1.9664139735280459E-001                  9.0866422076029781E-010                  3.4645270562378996E-042                  0.0000000000000000E+000                  2.7324370524787149E-004                  8.3814131867444028E-005                  7.6047551062835464E-004                  1.5212650545653103E-004                  2.9634483431874211E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     939                  2.1938454706015670E+008                  2.0000000000000000E+000                  1.1746521878230071E+004                  3.1199861420157891E+001                  1.3505684033345453E+000                  3.1199861420157891E+001                  1.3505684033345453E+000                  3.0052885642684367E+004                  2.3839235767110035E+007                  8.5237741323694166E+001                  2.5459452467481875E+017                 -2.5936920203672074E+000                  6.6719148083256985E-001                  8.0349986774889914E-001                  6.0699913635983826E-001                  3.9107533824309287E-001                  8.6766852608343806E-006                  1.2280752510943386E-003                  1.1293071597538974E-004                  0.0000000000000000E+000                  3.0078331921644352E-001                  0.0000000000000000E+000                  1.4538436552790274E-001                  7.8131317859941873E-008                  9.9999999977571896E-001                  9.9999999953705265E-001                  1.8138652940447603E-001                  7.8131317859941873E-008                  1.0000000000000000E+000                  9.8942634208531088E-001                  1.8214066038732576E-001                  1.3719583424337215E-003                  1.3425776863561147E+000                  1.3403707761858952E+000                  1.9894248107634116E-001                  1.3719583424337215E-003                  1.3505684033345453E+000                  8.2442053666011994E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.6554591925807555E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4946329683696638E+000                 -3.5097899977474128E+001                 -1.3847379800543134E+001                 -9.8999999999999986E+001                  2.9002069701799910E-001                 -1.4618794751370763E+000                  1.1948671275439708E+000                  1.1923351273900991E+000                 -3.5097899977474128E+001                 -2.5417614929296221E+001                 -2.7517367775094062E+001                 -3.6153170565855888E+001                  8.5899090765356686E+002                  0.0000000000000000E+000                  7.9799376845406362E+000                  1.3880215344488818E-033                  0.0000000000000000E+000                  7.9799376845406362E+000                  1.1368683772161603E-013                  4.1872062105818848E-005                  8.7896341943639786E+000                  1.1135840410491319E+002                  0.0000000000000000E+000                  2.3837189938698211E+003                  1.4941526650250327E+000                  8.0750521662160601E-001                  6.5063139704572286E-017                  2.2279808331134569E-005                  1.9094581931763366E-001                  8.8467047121680277E-010                  5.4715118386980796E-042                  0.0000000000000000E+000                  2.6602856370617481E-004                  8.1600976310687492E-005                  7.4039476094301358E-004                  1.4879807247515460E-004                  2.8986099432355564E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     976                  2.8355782019431770E+008                  2.0000000000000000E+000                  1.1667000478073700E+004                  3.2948049661803083E+001                  1.4068741860525262E+000                  3.2948049661803083E+001                  1.4068741860525262E+000                  2.7695475564934834E+004                  2.4221365896903597E+007                  8.6882004777977571E+001                  2.5275291148022742E+017                 -2.6310788332741368E+000                  6.9618952901822651E-001                  7.7843550310835097E-001                  5.5687057937192064E-001                  4.4120679593410717E-001                  9.0420607416302205E-006                  1.2481512350060095E-003                  8.9895975661535049E-005                  0.0000000000000000E+000                  2.9055558826317740E-001                  0.0000000000000000E+000                  1.3892385851094530E-001                  7.8131317970964176E-008                  9.9999999973665654E-001                  9.9999999947519169E-001                  1.7479536935209944E-001                  7.8131317970964176E-008                  1.0000000000000000E+000                  9.8715432563671968E-001                  1.7830408475272438E-001                  1.3632482792915661E-003                  1.3980792513828992E+000                  1.3958809469945623E+000                  1.9543077712318985E-001                  1.3632482792915661E-003                  1.4068741860525262E+000                  8.3216861556155342E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3475888855170634E+028                  5.3991378949041742E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5183083119296685E+000                 -3.4642970611357256E+001                 -1.4148409796207115E+001                 -9.8999999999999986E+001                  3.3338567202359248E-001                 -1.4397486032413593E+000                  1.1602809656239719E+000                  1.2676556859536885E+000                 -3.4642970611357256E+001                 -2.5115925867050201E+001                 -2.7189433860455573E+001                 -3.5900514550502187E+001                  1.0088359167332237E+003                  0.0000000000000000E+000                  7.9771717178922295E+000                  4.1591883756481844E-033                  0.0000000000000000E+000                  7.9771717178922295E+000                  1.1368683772161603E-013                  7.3745748582356718E-003                  9.5379420159687811E+000                  1.0490243659728611E+002                  0.0000000000000000E+000                  2.2042088576146566E+003                  1.5178297119137705E+000                  8.1040732554183892E-001                  6.7019221071675473E-017                  2.2057760465420936E-005                  1.8806278064664358E-001                  8.7276197051722692E-010                  6.7009918044467889E-042                  1.0051525986445929E-099                  2.6244756831297498E-004                  8.0502550201181608E-005                  7.3042834909930186E-004                  1.4737258617354682E-004                  2.8708412450323173E-004                  3.4581913839981659E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1016                  3.4166818658068490E+008                  2.0000000000000000E+000                  1.1572638293940905E+004                  3.4715125880317501E+001                  1.4677545993939798E+000                  3.4715125880317501E+001                  1.4677545993939798E+000                  2.5445585543945315E+004                  2.4619365201589972E+007                  8.8818857196909619E+001                  2.5124221752681066E+017                 -2.6673034643130689E+000                  7.2739706848468910E-001                  7.5303113208889938E-001                  5.0606197087387650E-001                  4.9201600841454446E-001                  9.3245058554577120E-006                  1.2550085555524605E-003                  8.2326117395353066E-005                  0.0000000000000000E+000                  2.8119890598743807E-001                  0.0000000000000000E+000                  1.3892385851094530E-001                  7.8131317970964176E-008                  9.9999999970150033E-001                  9.9999999939864104E-001                  1.7150802517918834E-001                  7.8131317970964176E-008                  1.0000000000000000E+000                  9.8442047249395315E-001                  1.7757306071223389E-001                  1.3532660161021471E-003                  1.4581968244938939E+000                  1.4557064241197524E+000                  1.9327343280720644E-001                  1.3532660161021471E-003                  1.4677545993939798E+000                  8.3978987438243669E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0126964745856270E+031                  5.2078169764798406E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5410478768728251E+000                 -3.4194259254275764E+001                 -1.4148409796207115E+001                 -9.8999999999999986E+001                  3.6902958320286772E-001                 -1.3734399437815252E+000                  1.1164378411614246E+000                  1.3361106312511895E+000                 -3.4194259254275764E+001                 -2.4819309121665786E+001                 -2.6866078627901533E+001                 -3.5586223819631499E+001                  1.1856893236078974E+003                  0.0000000000000000E+000                  7.9739799354372849E+000                  1.2375971894833450E-032                  0.0000000000000000E+000                  7.9739799354372849E+000                  2.2737367544323206E-013                  1.0748339650501482E-004                  8.9204530503305914E+000                  9.8605178658333585E+001                  0.0000000000000000E+000                  2.0333857873334630E+003                  1.5405187443881403E+000                  8.1173868234690871E-001                  6.7954959345729397E-017                  2.1955633923137838E-005                  1.8673920947339173E-001                  8.6760159033824535E-010                  7.4913767567661149E-042                  1.3615722414472705E-099                  2.6089579666990613E-004                  8.0026563414944889E-005                  7.2610955122774212E-004                  1.4691907984560134E-004                  2.8620068701668596E-004                  3.4725917905650272E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1060                  3.9429960820655972E+008                  2.0000000000000000E+000                  1.1460385521783794E+004                  3.6501013719418786E+001                  1.5346623716538352E+000                  3.6501013719418786E+001                  1.5346623716538352E+000                  2.3275212755161894E+004                  2.5025924218769677E+007                  9.0919380024362340E+001                  2.4966456933409485E+017                 -2.7029168749071535E+000                  7.6149626099312784E-001                  7.2783396396789901E-001                  4.5566773460014981E-001                  5.4241035313852914E-001                  9.5874671618496569E-006                  1.2580130777663180E-003                  7.9065103086961875E-005                  0.0000000000000000E+000                  2.7119271452771715E-001                  0.0000000000000000E+000                  1.3249871814822312E-001                  7.8131318193008781E-008                  9.9999999964681296E-001                  9.9999999930249439E-001                  1.6494309265533424E-001                  7.8131318193008781E-008                  1.0000000000000000E+000                  9.8172826599469287E-001                  1.7353569734529445E-001                  1.3427631511346715E-003                  1.5241211518787476E+000                  1.5215288479910063E+000                  1.8954876222387432E-001                  1.3427631511346715E-003                  1.5346623716538352E+000                  8.5157876430846913E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4669504308003061E+031                  4.8280512597126094E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5628822280729500E+000                 -3.3757838157085942E+001                 -1.3847379800543134E+001                 -9.8999999999999986E+001                  3.9855054379301236E-001                 -1.3137907804340769E+000                  1.0614977471357903E+000                  1.3984324881465557E+000                 -3.3757838157085942E+001                 -2.4529757588780331E+001                 -2.6549913617742533E+001                 -3.5257074392803013E+001                  1.3915619947169978E+003                  0.0000000000000000E+000                  7.9705961742896285E+000                  3.6067883835622553E-032                  0.0000000000000000E+000                  7.9705961742896285E+000                  2.2737367544323206E-013                  2.5997752753785797E-003                  9.3806254721265763E+000                  9.2388465272392722E+001                  0.0000000000000000E+000                  1.8690355846836210E+003                  1.5623049260081538E+000                  8.1214897935084773E-001                  6.8429450690126172E-017                  2.1924010483057407E-005                  1.8633005773284150E-001                  8.6641851505866002E-010                  8.0360215577640908E-042                  1.3982419564992062E-099                  2.6054004191177046E-004                  7.9917440036663155E-005                  7.2511943589788808E-004                  1.4703487118636802E-004                  2.8642625037654941E-004                  6.7093554705013334E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1110                  4.4234390539874268E+008                  2.0000000000000000E+000                  1.1326023358906172E+004                  3.8322671563281013E+001                  1.6100220319084919E+000                  3.8322671563281013E+001                  1.6100220319084919E+000                  2.1147338206846758E+004                  2.5439678143665269E+007                  9.3170619030470775E+001                  2.4780608232582922E+017                 -2.7383692923077572E+000                  7.9977469833496484E-001                  7.0282989444967647E-001                  4.0565966486755067E-001                  5.9241852534194472E-001                  9.8478463046304985E-006                  1.2599791087663282E-003                  7.6804586427743529E-005                  0.0000000000000000E+000                  2.6012538569229571E-001                  0.0000000000000000E+000                  1.2930587548136890E-001                  7.8131318193008781E-008                  9.9999999959212538E-001                  9.9999999917733629E-001                  1.6166550430439103E-001                  7.8131318193008781E-008                  1.0000000000000000E+000                  9.7756404226039573E-001                  1.7111768180548109E-001                  1.3318600008205750E-003                  1.5984745580296742E+000                  1.5954774595967702E+000                  1.8734399505707100E-001                  1.3318600008205750E-003                  1.6100220319084919E+000                  8.5864266655591659E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7013921800276275E+031                  4.3904617243719641E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5840867505262564E+000                 -3.3329382049780811E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.2292904621455157E-001                 -1.2540049369999824E+000                  9.9561576351972492E-001                  1.4545221861205302E+000                 -3.3329382049780811E+001                 -2.4245320590243537E+001                 -2.6238711505982995E+001                 -3.4927413401935503E+001                  1.6253073265943885E+003                  0.0000000000000000E+000                  7.9670553358404392E+000                  1.0366796803325283E-031                  0.0000000000000000E+000                  7.9670553358404392E+000                  2.2737367544323206E-013                  8.7050136337050166E-003                  9.5523287565860571E+000                  8.6141593777452599E+001                  0.0000000000000000E+000                  1.7082070450290321E+003                  1.5834557771483739E+000                  8.1179589822294840E-001                  6.8663774446963085E-017                  2.1951555501361582E-005                  1.8667878346751124E-001                  8.6849049963872889E-010                  8.4271585092603231E-042                  1.6615070045422629E-099                  2.6116312384034761E-004                  8.0108562722832903E-005                  7.2685356019314964E-004                  1.4763850337745673E-004                  2.8760213541460236E-004                  1.2031110572378600E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1164                  4.8413695660326701E+008                  2.0000000000000000E+000                  1.1174873804831914E+004                  4.0057985329535562E+001                  1.6909008137330808E+000                  4.0057985329535562E+001                  1.6909008137330808E+000                  1.9172691435253721E+004                  2.5856406868041247E+007                  9.5675998597291041E+001                  2.4615206776355766E+017                 -2.7718088374914229E+000                  8.4068414169709660E-001                  6.7842239039753360E-001                  3.5684470445611705E-001                  6.4123341950807045E-001                  1.0112097364776332E-005                  1.2617693849654278E-003                  7.4799715466532739E-005                  0.0000000000000000E+000                  2.4912583312040609E-001                  0.0000000000000000E+000                  1.2294208238586574E-001                  7.8131318193008781E-008                  9.9999999951400032E-001                  9.9999999902258685E-001                  1.5350470740169059E-001                  7.8131318193008781E-008                  1.0000000000000000E+000                  9.7294312458784371E-001                  1.6692273774987065E-001                  1.3201316252627305E-003                  1.6781259381841491E+000                  1.6749028656323761E+000                  1.8268664949691621E-001                  1.3201316252627305E-003                  1.6909008137330808E+000                  8.6701943011296945E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1636376774826431E+031                  4.1436797142551916E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6033651422628941E+000                 -3.2913212364607169E+001                 -1.3847379800543134E+001                 -9.8999999999999986E+001                  4.4269506354735805E-001                 -1.2047881173689305E+000                  9.1954010750498671E-001                  1.5025849009785268E+000                 -3.2913212364607169E+001                 -2.3970272514450841E+001                 -2.5937602153460219E+001                 -3.4607250884940157E+001                  1.8835641061648751E+003                  0.0000000000000000E+000                  7.9632139949071119E+000                  2.9369062132966249E-031                  0.0000000000000000E+000                  7.9632139949071119E+000                  6.8212102632969618E-013                  9.3757581209885643E-007                  8.2245300453202592E+000                  8.0192001033794156E+001                  0.0000000000000000E+000                  1.5591406450805150E+003                  1.6026891031635546E+000                  8.1104421677157401E-001                  6.8769452652892207E-017                  2.2009780775713375E-005                  1.8742343037691891E-001                  8.7223156368648345E-010                  8.7014690385700937E-042                  1.6131101176849678E-099                  2.6228812994748507E-004                  8.0453644451722981E-005                  7.2998460979229428E-004                  1.4844418953636598E-004                  2.8917162477188685E-004                  1.5129478408393404E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
